year,region_raw,region_code,region_name,number_of_families_thousands,avg_annual_income_thousand_php,avg_annual_expenditure_thousand_php,avg_annual_savings_thousand_php,number_of_families,avg_annual_income_php,avg_annual_expenditure_php,avg_annual_savings_php,avg_monthly_income_php,avg_monthly_expenditure_php,avg_monthly_savings_php,savings_rate,income_to_expenditure_ratio
2021,XIII-Caraga,XIII,Caraga,664.00,250.00,198.00,52.00,664000.00,250000.00,198000.00,52000.00,20833.33,16500.00,4333.33,0.208,1.26
2021,BARMM,BARMM,Bangsamoro Autonomous Region in Muslim Mindanao,696.00,185.00,150.00,35.00,696000.00,185000.00,150000.00,35000.00,15416.67,12500.00,2916.67,0.189,1.23
2018,NCR,NCR,National Capital Region,3318.00,460.00,369.00,92.00,3318000.00,460000.00,369000.00,92000.00,38333.33,30750.00,7666.67,0.200,1.25
2018,CAR,CAR,Cordillera Administrative Region,422.00,354.00,230.00,124.00,422000.00,354000.00,230000.00,124000.00,29500.00,19166.67,10333.33,0.350,1.54
2018,I-Ilocos Region,I,Ilocos Region,1213.00,287.00,205.00,82.00,1213000.00,287000.00,205000.00,82000.00,23916.67,17083.33,6833.33,0.286,1.40
2018,II-Cagayan Valley,II,Cagayan Valley,853.00,265.00,174.00,91.00,853000.00,265000.00,174000.00,91000.00,22083.33,14500.00,7583.33,0.343,1.52
2018,III-Central Luzon,III,Central Luzon,2783.00,334.00,270.00,64.00,2783000.00,334000.00,270000.00,64000.00,27833.33,22500.00,5333.33,0.192,1.24
2018,IV-A-CALABARZON,IV-A,CALABARZON,3760.00,384.00,305.00,80.00,3760000.00,384000.00,305000.00,80000.00,32000.00,25416.67,6666.67,0.208,1.26
2018,MIMAROPA,MIMAROPA,MIMAROPA Region,737.00,257.00,175.00,83.00,737000.00,257000.00,175000.00,83000.00,21416.67,14583.33,6916.67,0.323,1.47
2018,V-Bicol Region,V,Bicol Region,1280.00,235.00,193.00,42.00,1280000.00,235000.00,193000.00,42000.00,19583.33,16083.33,3500.00,0.179,1.22
2018,VI-Western Visayas,VI,Western Visayas,1832.00,266.00,202.00,63.00,1832000.00,266000.00,202000.00,63000.00,22166.67,16833.33,5250.00,0.237,1.32
2018,VII-Central Visayas,VII,Central Visayas,1839.00,308.00,204.00,104.00,1839000.00,308000.00,204000.00,104000.00,25666.67,17000.00,8666.67,0.338,1.51
2018,VIII-Eastern Visayas,VIII,Eastern Visayas,1059.00,227.00,179.00,48.00,1059000.00,227000.00,179000.00,48000.00,18916.67,14916.67,4000.00,0.211,1.27
2018,IX-Zamboanga Peninsula,IX,Zamboanga Peninsula,839.00,228.00,162.00,65.00,839000.00,228000.00,162000.00,65000.00,19000.00,13500.00,5416.67,0.285,1.41
2018,X-Northern Mindanao,X,Northern Mindanao,1120.00,250.00,175.00,76.00,1120000.00,250000.00,175000.00,76000.00,20833.33,14583.33,6333.33,0.304,1.43
2018,XI-Davao Region,XI,Davao Region,1284.00,270.00,192.00,78.00,1284000.00,270000.00,192000.00,78000.00,22500.00,16000.00,6500.00,0.289,1.41
2018,XII-SOCCSKSARGEN,XII,SOCCSKSARGEN,1131.00,242.00,181.00,61.00,1131000.00,242000.00,181000.00,61000.00,20166.67,15083.33,5083.33,0.252,1.34
2018,XIII-Caraga,XIII,Caraga,619.00,243.00,187.00,56.00,619000.00,243000.00,187000.00,56000.00,20250.00,15583.33,4666.67,0.230,1.30
2018,BARMM,BARMM,Bangsamoro Autonomous Region in Muslim Mindanao,657.00,161.00,127.00,34.00,657000.00,161000.00,127000.00,34000.00,13416.67,10583.33,2833.33,0.211,1.27
2023,NCR,NCR,National Capital Region,3633.00,514.00,385.00,128.00,3633000.00,514000.00,385000.00,128000.00,42833.33,32083.33,10666.67,0.249,1.34
2023,CAR,CAR,Cordillera Administrative Region,464.00,359.00,248.00,111.00,464000.00,359000.00,248000.00,111000.00,29916.67,20666.67,9250.00,0.309,1.45
2023,I-Ilocos Region,I,Ilocos Region,1307.00,340.00,232.00,107.00,1307000.00,340000.00,232000.00,107000.00,28333.33,19333.33,8916.67,0.315,1.47
2023,II-Cagayan Valley,II,Cagayan Valley,926.00,311.00,214.00,97.00,926000.00,311000.00,214000.00,97000.00,25916.67,17833.33,8083.33,0.312,1.45
2023,III-Central Luzon,III,Central Luzon,3123.00,375.00,299.00,77.00,3123000.00,375000.00,299000.00,77000.00,31250.00,24916.67,6416.67,0.205,1.25
2023,IV-A-CALABARZON,IV-A,CALABARZON,4304.00,427.00,310.00,116.00,4304000.00,427000.00,310000.00,116000.00,35583.33,25833.33,9666.67,0.272,1.38
2023,MIMAROPA,MIMAROPA,MIMAROPA Region,819.00,267.00,190.00,78.00,819000.00,267000.00,190000.00,78000.00,22250.00,15833.33,6500.00,0.292,1.41
2023,V-Bicol Region,V,Bicol Region,1374.00,287.00,203.00,85.00,1374000.00,287000.00,203000.00,85000.00,23916.67,16916.67,7083.33,0.296,1.41
2023,VI-Western Visayas,VI,Western Visayas,2019.00,298.00,225.00,73.00,2019000.00,298000.00,225000.00,73000.00,24833.33,18750.00,6083.33,0.245,1.32
2023,VII-Central Visayas,VII,Central Visayas,2053.00,317.00,210.00,107.00,2053000.00,317000.00,210000.00,107000.00,26416.67,17500.00,8916.67,0.338,1.51
2023,VIII-Eastern Visayas,VIII,Eastern Visayas,1185.00,267.00,200.00,67.00,1185000.00,267000.00,200000.00,67000.00,22250.00,16666.67,5583.33,0.251,1.34
2023,IX-Zamboanga Peninsula,IX,Zamboanga Peninsula,897.00,257.00,201.00,56.00,897000.00,257000.00,201000.00,56000.00,21416.67,16750.00,4666.67,0.218,1.28
2023,X-Northern Mindanao,X,Northern Mindanao,1236.00,296.00,203.00,94.00,1236000.00,296000.00,203000.00,94000.00,24666.67,16916.67,7833.33,0.318,1.46
2023,XI-Davao Region,XI,Davao Region,1469.00,319.00,204.00,115.00,1469000.00,319000.00,204000.00,115000.00,26583.33,17000.00,9583.33,0.361,1.56
2023,XII-SOCCSKSARGEN,XII,SOCCSKSARGEN,1138.00,282.00,202.00,80.00,1138000.00,282000.00,202000.00,80000.00,23500.00,16833.33,6666.67,0.284,1.40
2023,XIII-Caraga,XIII,Caraga,694.00,277.00,213.00,63.00,694000.00,277000.00,213000.00,63000.00,23083.33,17750.00,5250.00,0.227,1.30
2023,BARMM,BARMM,Bangsamoro Autonomous Region in Muslim Mindanao,837.00,207.00,169.00,38.00,837000.00,207000.00,169000.00,38000.00,17250.00,14083.33,3166.67,0.184,1.22
,,,,,,,,,,,,0.00,,,,
